site,date,inverter_id,daily_kwh,daily_kwh_per_kwp
Bissell_Thrift_Shop,2025-10-09,1,29.93844,2.68266
Bissell_Thrift_Shop,2025-10-09,2,27.64959,2.70279
Bissell_Thrift_Shop,2025-10-09,3,26.42236,2.84111
Bissell_Thrift_Shop,2025-10-10,1,27.12437,2.4305
Bissell_Thrift_Shop,2025-10-10,2,24.99406,2.44321
Bissell_Thrift_Shop,2025-10-10,3,23.82348,2.56166
Bissell_Thrift_Shop,2025-10-11,1,9.11303,0.81658
Bissell_Thrift_Shop,2025-10-11,2,8.51051,0.83192
Bissell_Thrift_Shop,2025-10-11,3,7.21899,0.77624
Bissell_Thrift_Shop,2025-10-12,1,12.48736,1.11894
Bissell_Thrift_Shop,2025-10-12,2,11.45274,1.11953
Bissell_Thrift_Shop,2025-10-12,3,9.63138,1.03563
Bissell_Thrift_Shop,2025-10-13,1,28.24536,2.53095
Bissell_Thrift_Shop,2025-10-13,2,24.67895,2.41241
Bissell_Thrift_Shop,2025-10-13,3,23.54608,2.53184
Bissell_Thrift_Shop,2025-10-14,1,30.48172,2.73134
Bissell_Thrift_Shop,2025-10-14,2,27.56125,2.69416
Bissell_Thrift_Shop,2025-10-14,3,26.65182,2.86579
Bissell_Thrift_Shop,2025-10-15,1,28.63859,2.56618
Bissell_Thrift_Shop,2025-10-15,2,25.67875,2.51014
Bissell_Thrift_Shop,2025-10-15,3,24.58616,2.64367
Bissell_Thrift_Shop,2025-10-16,1,26.56795,2.38064
Bissell_Thrift_Shop,2025-10-16,2,24.06864,2.35275
Bissell_Thrift_Shop,2025-10-16,3,23.43396,2.51978
Bissell_Thrift_Shop,2025-10-17,1,26.09819,2.33855
Bissell_Thrift_Shop,2025-10-17,2,23.27163,2.27484
Bissell_Thrift_Shop,2025-10-17,3,22.95838,2.46864
Bissell_Thrift_Shop,2025-10-18,1,26.90744,2.41106
Bissell_Thrift_Shop,2025-10-18,2,24.34695,2.37996
Bissell_Thrift_Shop,2025-10-18,3,23.72973,2.55158
Bissell_Thrift_Shop,2025-10-19,1,12.51485,1.1214
Bissell_Thrift_Shop,2025-10-19,2,10.84763,1.06037
Bissell_Thrift_Shop,2025-10-19,3,9.81291,1.05515
Bissell_Thrift_Shop,2025-10-20,1,20.09191,1.80035
Bissell_Thrift_Shop,2025-10-20,2,17.97435,1.75702
Bissell_Thrift_Shop,2025-10-20,3,16.42436,1.76606
Bissell_Thrift_Shop,2025-10-21,1,23.53112,2.10852
Bissell_Thrift_Shop,2025-10-21,2,20.45022,1.99904
Bissell_Thrift_Shop,2025-10-21,3,19.3059,2.0759
Bissell_Thrift_Shop,2025-10-22,1,23.54562,2.10982
Bissell_Thrift_Shop,2025-10-22,2,20.63196,2.01681
Bissell_Thrift_Shop,2025-10-22,3,20.97431,2.2553
Bissell_Thrift_Shop,2025-10-23,1,21.00965,1.88258
Bissell_Thrift_Shop,2025-10-23,2,19.07931,1.86504
Bissell_Thrift_Shop,2025-10-23,3,19.15356,2.05952
Bissell_Thrift_Shop,2025-10-24,1,11.86016,1.06274
Bissell_Thrift_Shop,2025-10-24,2,10.63685,1.03977
Bissell_Thrift_Shop,2025-10-24,3,9.28487,0.99837
Bissell_Thrift_Shop,2025-10-25,1,22.15588,1.98529
Bissell_Thrift_Shop,2025-10-25,2,20.00682,1.9557
Bissell_Thrift_Shop,2025-10-25,3,18.83716,2.0255
Bissell_Thrift_Shop,2025-10-26,1,7.24776,0.64944
Bissell_Thrift_Shop,2025-10-26,2,6.25395,0.61133
Bissell_Thrift_Shop,2025-10-26,3,5.30542,0.57048
Bissell_Thrift_Shop,2025-10-27,1,6.56137,0.58794
Bissell_Thrift_Shop,2025-10-27,2,6.13194,0.59941
Bissell_Thrift_Shop,2025-10-27,3,5.00711,0.5384
Bissell_Thrift_Shop,2025-10-28,1,22.55485,2.02104
Bissell_Thrift_Shop,2025-10-28,2,20.4972,2.00364
Bissell_Thrift_Shop,2025-10-28,3,20.64015,2.21937
Bissell_Thrift_Shop,2025-10-29,1,16.99288,1.52266
Bissell_Thrift_Shop,2025-10-29,2,15.26198,1.49188
Bissell_Thrift_Shop,2025-10-29,3,14.30792,1.53849
Bissell_Thrift_Shop,2025-10-30,1,14.10348,1.26375
Bissell_Thrift_Shop,2025-10-30,2,13.10382,1.28092
Bissell_Thrift_Shop,2025-10-30,3,11.66995,1.25483
Bissell_Thrift_Shop,2025-10-31,1,11.27924,1.01068
Bissell_Thrift_Shop,2025-10-31,2,10.71968,1.04787
Bissell_Thrift_Shop,2025-10-31,3,9.56568,1.02857
Bissell_Thrift_Shop,2025-11-01,1,7.78614,0.69768
Bissell_Thrift_Shop,2025-11-01,2,7.47147,0.73035
Bissell_Thrift_Shop,2025-11-01,3,6.65133,0.7152
Bissell_Thrift_Shop,2025-11-02,1,19.08533,1.71016
Bissell_Thrift_Shop,2025-11-02,2,17.97849,1.75743
Bissell_Thrift_Shop,2025-11-02,3,17.6501,1.89786
Bissell_Thrift_Shop,2025-11-03,1,14.04412,1.25843
Bissell_Thrift_Shop,2025-11-03,2,13.42301,1.31212
Bissell_Thrift_Shop,2025-11-03,3,12.93317,1.39066
Bissell_Thrift_Shop,2025-11-04,1,17.57108,1.57447
Bissell_Thrift_Shop,2025-11-04,2,16.795,1.64174
Bissell_Thrift_Shop,2025-11-04,3,16.69161,1.7948
Bissell_Thrift_Shop,2025-11-05,1,9.32996,0.83602
Bissell_Thrift_Shop,2025-11-05,2,9.162,0.8956
Bissell_Thrift_Shop,2025-11-05,3,8.54109,0.9184
Bissell_Thrift_Shop,2025-11-06,1,5.02786,0.45052
Bissell_Thrift_Shop,2025-11-06,2,4.69033,0.45849
Bissell_Thrift_Shop,2025-11-06,3,3.77194,0.40558
Bissell_Thrift_Shop,2025-11-07,1,0.17403,0.01559
Bissell_Thrift_Shop,2025-11-07,2,0.13791,0.01348
Bissell_Thrift_Shop,2025-11-07,3,0.1058,0.01138
Bissell_Thrift_Shop,2025-11-08,1,5.43299,0.48683
Bissell_Thrift_Shop,2025-11-08,2,5.16096,0.50449
Bissell_Thrift_Shop,2025-11-08,3,4.9274,0.52983
Bissell_Thrift_Shop,2025-11-09,1,9.19204,0.82366
Bissell_Thrift_Shop,2025-11-09,2,8.59282,0.83996
Bissell_Thrift_Shop,2025-11-09,3,7.60903,0.81818
Bissell_Thrift_Shop,2025-11-10,1,9.11239,0.81652
Bissell_Thrift_Shop,2025-11-10,2,9.05793,0.88543
Bissell_Thrift_Shop,2025-11-10,3,8.86132,0.95283
Bissell_Thrift_Shop,2025-11-11,1,12.24797,1.09749
Bissell_Thrift_Shop,2025-11-11,2,11.71711,1.14537
Bissell_Thrift_Shop,2025-11-11,3,11.98647,1.28887
Bissell_Thrift_Shop,2025-11-12,1,12.1862,1.09195
Bissell_Thrift_Shop,2025-11-12,2,11.72216,1.14586
Bissell_Thrift_Shop,2025-11-12,3,12.08953,1.29995
Bissell_Thrift_Shop,2025-11-13,1,8.43795,0.75609
Bissell_Thrift_Shop,2025-11-13,2,7.94166,0.77631
Bissell_Thrift_Shop,2025-11-13,3,7.1449,0.76827
Bissell_Thrift_Shop,2025-11-14,1,10.92014,0.97851
Bissell_Thrift_Shop,2025-11-14,2,9.98724,0.97627
Bissell_Thrift_Shop,2025-11-14,3,11.10035,1.19359
Bissell_Thrift_Shop,2025-11-15,1,10.41535,0.93328
Bissell_Thrift_Shop,2025-11-15,2,10.0082,0.97832
Bissell_Thrift_Shop,2025-11-15,3,10.47202,1.12602
Bissell_Thrift_Shop,2025-11-16,1,9.71961,0.87093
Bissell_Thrift_Shop,2025-11-16,2,8.88436,0.86846
Bissell_Thrift_Shop,2025-11-16,3,9.07718,0.97604
Bissell_Thrift_Shop,2025-11-17,1,6.92537,0.62055
Bissell_Thrift_Shop,2025-11-17,2,6.53351,0.63866
Bissell_Thrift_Shop,2025-11-17,3,5.81105,0.62484
Bissell_Thrift_Shop,2025-11-18,1,3.74346,0.33544
Bissell_Thrift_Shop,2025-11-18,2,3.52401,0.34448
Bissell_Thrift_Shop,2025-11-18,3,3.01758,0.32447
Bissell_Thrift_Shop,2025-11-19,1,7.71236,0.69107
Bissell_Thrift_Shop,2025-11-19,2,7.14774,0.6987
Bissell_Thrift_Shop,2025-11-19,3,7.83681,0.84267
Bissell_Thrift_Shop,2025-11-20,1,8.16027,0.73121
Bissell_Thrift_Shop,2025-11-20,2,8.12262,0.794
