date,site,daily_kwh
10/15/2025,Doug_Visser,48.5
10/16/2025,Doug_Visser,48.3
10/17/2025,Doug_Visser,45.1
10/18/2025,Doug_Visser,49
10/19/2025,Doug_Visser,15.9
10/20/2025,Doug_Visser,10.7
10/21/2025,Doug_Visser,33.9
10/22/2025,Doug_Visser,3.3
10/23/2025,Doug_Visser,41.6
10/24/2025,Doug_Visser,13.5
10/25/2025,Doug_Visser,31.2
10/26/2025,Doug_Visser,7.6
10/27/2025,Doug_Visser,6.9
10/28/2025,Doug_Visser,42.7
10/29/2025,Doug_Visser,23.7
10/30/2025,Doug_Visser,21
10/31/2025,Doug_Visser,17
11/1/2025,Doug_Visser,14.9
11/2/2025,Doug_Visser,35.7
11/3/2025,Doug_Visser,29.6
11/4/2025,Doug_Visser,37.9
11/5/2025,Doug_Visser,19.5
11/6/2025,Doug_Visser,1.1
11/7/2025,Doug_Visser,0.3
11/8/2025,Doug_Visser,3.3
11/9/2025,Doug_Visser,13.7
11/10/2025,Doug_Visser,25.2
11/11/2025,Doug_Visser,31.5
11/12/2025,Doug_Visser,30
11/13/2025,Doug_Visser,13.5
11/14/2025,Doug_Visser,32.2
11/15/2025,Doug_Visser,28
11/16/2025,Doug_Visser,21
11/17/2025,Doug_Visser,10.1
11/18/2025,Doug_Visser,3.7
11/19/2025,Doug_Visser,21.1
11/20/2025,Doug_Visser,25.1
11/21/2025,Doug_Visser,10.5
11/22/2025,Doug_Visser,23.2
11/23/2025,Doug_Visser,16.9
11/24/2025,Doug_Visser,21.9
11/25/2025,Doug_Visser,23.7
11/26/2025,Doug_Visser,2.5
11/27/2025,Doug_Visser,2.2
11/28/2025,Doug_Visser,0.3
11/29/2025,Doug_Visser,0.7
11/30/2025,Doug_Visser,0.1
12/1/2025,Doug_Visser,0.1
12/2/2025,Doug_Visser,0.9
12/3/2025,Doug_Visser,0.1
12/4/2025,Doug_Visser,0.9
12/5/2025,Doug_Visser,0.1
12/6/2025,Doug_Visser,0.4
12/7/2025,Doug_Visser,0.3
12/8/2025,Doug_Visser,0.4
12/9/2025,Doug_Visser,0.2
12/10/2025,Doug_Visser,0.3
12/11/2025,Doug_Visser,0.1
12/12/2025,Doug_Visser,0.1
12/13/2025,Doug_Visser,0
12/14/2025,Doug_Visser,0.2
12/15/2025,Doug_Visser,0.1
12/16/2025,Doug_Visser,0.2
12/17/2025,Doug_Visser,0.1
12/18/2025,Doug_Visser,0.1
12/19/2025,Doug_Visser,0.2
12/20/2025,Doug_Visser,0.1
12/21/2025,Doug_Visser,0.1
12/22/2025,Doug_Visser,0.1
12/23/2025,Doug_Visser,0.2
12/24/2025,Doug_Visser,0.1
12/25/2025,,
12/26/2025,,
12/27/2025,,
12/28/2025,,
12/29/2025,,
12/30/2025,,
12/31/2025,,
1/1/2026,,
1/2/2026,Doug_Visser,0.1
1/3/2026,Doug_Visser,0
1/4/2026,,
1/5/2026,,
1/6/2026,,
1/7/2026,,
1/8/2026,,
1/9/2026,,
1/10/2026,,
1/11/2026,,
1/12/2026,Doug_Visser,0.2
1/13/2026,Doug_Visser,0.5
1/14/2026,Doug_Visser,5.6
1/15/2026,Doug_Visser,13.7
1/16/2026,Doug_Visser,18.7
1/17/2026,Doug_Visser,20.4
1/18/2026,Doug_Visser,11.3
1/19/2026,Doug_Visser,8.3
1/20/2026,Doug_Visser,12.2
1/21/2026,Doug_Visser,8.3
1/22/2026,Doug_Visser,28.2
1/23/2026,Doug_Visser,0
1/24/2026,Doug_Visser,3
1/25/2026,Doug_Visser,4.8
1/26/2026,Doug_Visser,3
1/27/2026,Doug_Visser,11.5
1/28/2026,Doug_Visser,7.7
1/29/2026,Doug_Visser,18.1
1/30/2026,Doug_Visser,11.2
1/31/2026,Doug_Visser,25.4
2/1/2026,Doug_Visser,5.1
2/2/2026,Doug_Visser,19.2
2/3/2026,Doug_Visser,32.2
2/4/2026,Doug_Visser,19.5
2/5/2026,Doug_Visser,39.5
2/6/2026,Doug_Visser,26.8
2/7/2026,Doug_Visser,21.1
2/8/2026,Doug_Visser,30.2
2/9/2026,Doug_Visser,39.1
2/10/2026,Doug_Visser,41.1
2/11/2026,Doug_Visser,32.6
2/12/2026,Doug_Visser,29.9
